Propinsi,Kabupaten,Kode,Nama Kabupaten,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
33,28,3328,Tegal,15.780,0.100,0.397,10.355,3.780,0.578,0.143,1.070,93.031,98.955
33,29,3329,Brebes,25.980,0.117,0.808,14.685,4.566,0.919,0.229,1.057,80.808,99.327
33,71,3371,Magelang,11.160,0.003,0.765,0.043,6.647,0.000,0.529,3.000,100.000,100.000
33,72,3372,Surakarta,16.130,0.000,1.588,0.007,7.627,0.000,0.431,2.588,100.000,100.000
33,73,3373,Salatiga,8.470,0.027,0.000,0.127,6.682,0.091,0.227,1.818,100.000,100.000
33,74,3374,Semarang,6.000,0.013,0.751,1.360,5.401,0.000,0.514,0.983,98.305,98.870
33,75,3375,Pekalongan,10.290,0.021,2.000,0.097,5.021,0.021,0.426,0.723,100.000,100.000
33,76,3376,Tegal,11.280,0.023,0.407,9.678,7.407,0.037,0.593,2.407,100.000,100.000
34,01,3401,Kulon Progo,26.850,0.053,0.011,3.062,5.523,0.239,0.148,1.648,100.000,100.000
34,02,3402,Bantul,18.540,0.043,0.000,2.697,7.133,0.427,0.093,2.053,98.667,100.000
34,03,3403,Gunung Kidul,25.960,0.041,0.000,4.411,5.083,0.597,0.299,0.986,70.139,99.306
34,04,3404,Sleman,12.340,0.043,0.000,0.986,8.209,0.558,0.593,2.360,91.860,100.000
34,71,3471,Yogyakarta,10.810,0.001,0.800,0.097,7.111,0.000,0.733,1.689,100.000,100.000
35,01,3501,Pacitan,21.170,0.057,0.000,9.802,3.696,0.801,0.234,1.105,84.211,95.906
35,02,3502,Ponorogo,16.620,0.109,0.003,6.809,2.980,1.243,0.167,1.230,63.607,99.344
35,03,3503,Trenggalek,20.640,0.103,0.006,5.349,4.268,1.166,0.268,1.172,87.261,98.726
35,04,3504,Tulungagung,12.410,0.080,0.125,1.882,3.387,1.354,0.111,1.022,79.705,99.631
35,05,3505,Blitar,14.530,0.091,0.000,6.778,4.476,1.347,0.734,1.657,86.290,100.000
35,06,3506,Kediri,18.850,0.096,0.000,1.141,3.331,0.686,0.616,1.140,87.500,99.709
35,07,3507,Malang,15.080,0.105,0.013,7.950,5.277,1.236,0.297,1.144,84.872,100.000
35,08,3508,Lumajang,18.170,0.109,0.000,5.320,4.439,0.776,0.112,0.937,77.073,100.000
35,09,3509,Jember,17.740,0.123,0.036,18.806,7.652,0.980,0.170,1.113,57.895,99.595
