City,Country,Latitude,Longitude,PopGrowth_2000
Kinshasa,Congo,-4.325,15.3222,2664000
Kitakyushu,Japan,33.83333,130.83333,1011000
Kobe,Japan,34.691269,135.183072,1494000
Kuala Lumpur,Malaysia,3.1412,101.68653,1145000
Kunming,China,25.03889,102.71833,1612000
Kyoto,Japan,35.02107,135.75385,1468000
La Matanza Partido,Argentina,-34.7167,-58.6333,1120000
Lagos,Nigeria,6.524379,3.379206,1061000
Lahore,Pakistan,31.54972,74.34361,5143000
Laiwu,China,36.1833,117.6667,1105000
Lanzhou,China,36.061089,103.834304,1618000
Leiyang,China,26.4,112.929,1112000
Leshan,China,29.552106,103.765568,1070000
Lianyuan,China,27.692,111.664,1007000
Lima,Peru,-12.04318,-77.02824,7201000
Linyi,China,35.05,118.35,1590000
London,United Kingdom,51.51121,-0.11983,7074000
Los Angeles,United States of America,34.05223,-118.244,3695000
Lucknow,India,26.83928,80.92313,1619000
Ludhiana,India,30.90015,75.85229,1043000
Luoyang,China,34.6697,112.4422,1202000
Lusaka,Zambia,-15.40669,28.28713,1270000
Macheng,China,31.3167,115.1,1063000
Madras,India,13.08784,80.27847,3841000
Madrid,Spain,40.41678,-3.70379,2823000
Magelang,Indonesia,-7.4667,110.2167,1174000
Manado,Indonesia,1.4931,124.8413,3173000
Manaus,Brazil,-3.10194,-60.025,1286000
Manila,Philippines,14.58,121,1654000
Maputo,Mozambique,-25.9667,32.5833,1015000
Maracaibo,Venezuela,10.63167,-71.64056,1706000
Mashhad,Iran,36.3,59.6,1887000
Medan,Indonesia,3.5833,98.6667,1988000
Medellin,Columbia,6.25184,-75.56359,1885000
Melbourne,Australia,-37.814,144.96332,3414000
Mexico City,Mexico,19.42847,-99.1277,8235000
Milan,Italy,45.46545,9.198786,1306000
Minsk,Belarus,53.9,27.56667,1677000
Monterrey,Mexico,25.6667,-100.3,1069000
Montevideo,Uruguay,-34.817311,-56.158866,13303000
Montreal,Canada,45.50884,-73.5878,1016000
Moscow,Russian Federation,55.75222,37.61556,8297000
Multan,Pakistan,30.19556,71.47528,1197000
Mumbai,India,19.07283,72.88261,9926000
Munich,Germany,48.13674,11.57676,1195000
Nagoya,Japan,35.181447,136.906397,2171000
Nagpur,India,21.15,79.1,1625000
Nairobi,Kenya,-1.28333,36.81667,1346000
Nanchang,China,28.68333,115.88333,1369000
Nanjing,China,32.05,118.7667,1200000
Nanning,China,22.81667,108.31667,1164000
Naples,Italy,40.85178,14.26812,1046000
Neijiang,China,29.5833,105.0667,1289000
New York,United States of America,40.71435,-74.006,8008000
Nezahualcoyotl,Mexico,19.4,-98.988889,1255000
Ningbo,China,29.8667,121.55,1142000
Nizhniy Novgorod,Russian Federation,56.3269,44.0075,1357000
Novosibirsk,Russian Federation,55.0415,82.9346,1400000
Odessa,Ukraine,46.47747,30.73262,1002000
Omdurman,Sudan,15.64453,32.47773,1271000
Omsk,Russian Federation,54.99244,73.36859,1253000
Oran,Algeria,35.69111,-0.64167,1214000
Osaka,Japan,34.693216,135.502082,2599000
Padang,Indonesia,-0.94924,100.35427,1153000
Palembang,Indonesia,-2.91673,104.7458,1415000
Paris,France,48.85661,2.352222,2152000
Pekalongan,Indonesia,-6.8886,109.6753,1093000
Perm,Russian Federation,58.013889,56.248889,1014000
Perth,Australia,-31.95224,115.8614,1362000
Philadelphia,United States of America,39.95,-75.1667,1518000
Phoenix,United States of America,33.44838,-112.074143,1321000
